community_id,city,state,population,area_sqm,density_pop_per_sqm,closest_large_media_market,distance_from_lmm,pct_white,pct_black,pct_hislat,universities_count,county_seat,state_capital
1,Acworth,GA,20425,8.24,2477.6,Atlanta,28,63,26,12,0,No,No
2,Alton,IL,27865,15.47,1801.2,St. Louis,15,69,27,2,0,No,No
3,Ann Arbor,MI,113934,27.83,4094,Detroit,36,73,8,4,1,No,No
4,Antioch,CA,102372,28.35,3611.2,San Francisco,37,49,17,32,0,No,No
5,Apple Valley,CA,69135,73.19,944.6,Los Angeles,68,69,9,29,0,No,No
6,Bay City,MI,34932,10.17,3436,Detroit,97,90,4,9,0,No,No
7,Beavercreek,OH,45193,26.4,1711.9,Columbus,60,89,3,3,0,No,No
8,Belmont,CA,25835,4.62,5590.2,San Francisco,20,68,2,12,0,No,No
9,Belton,MO,23116,14.25,1622.7,Kansas City,20,86,6,8,0,No,No
10,Beverly,MA,39502,15.09,2617.2,Boston,17,83,3,2,0,No,No
11,Biddeford,ME,21277,30.09,707.2,Boston,84,95,1,2,0,No,No
12,Boulder,CO,97385,24.66,3948.4,Denver,24,88,1,9,1,No,No
13,Bozeman,MT,37280,19.12,1950,Salt Lake City,342,94,1,3,1,Yes,No
14,Cedar Falls,IA,39260,28.75,1365.7,Minneapolis,174,93,2,2,1,No,No
15,Charleston,IL,21838,8.92,2449.1,Indianapolis,109,90,6,2,1,Yes,No
16,Cicero,IL,83891,5.86,14304.8,Chicago,7,52,4,90,0,No,No
17,Coppell,TX,38659,14.39,2685.7,Dallas,18,83,3,7,0,No,No
18,Corona,CA,152374,38.83,3924.6,Los Angeles,41,60,6,44,0,No,No
19,Cottage Grove,MN,34589,33.62,1028.7,Minneapolis,19,87,4,5,0,No,No
20,Darien,IL,22086,6.18,3574.9,Chicago,20,90,1,1,0,No,No
21,Dover,DE,36047,23.15,1557.3,Philadelphia,58,48,42,7,0,Yes,Yes
22,East St. Louis,IL,27006,13.99,1930.1,St. Louis,4,98,1,1,0,No,No
23,Elizabethtown,KY,28531,25.36,1125.1,Louisville,39,80,20,4,0,No,No
24,Elmwood Park,IL,24883,1.91,13045.7,Chicago,10,92,1,11,0,No,No
25,Faribault,MN,23352,15.32,1524.7,Minneapolis,47,83,8,13,0,Yes,No
26,Flower Mound,TX,64669,41.39,1562.5,Dallas,29,83,3,8,0,No,No
27,Garfield Heights,OH,28849,7.23,3990.3,Cleveland,7,60,36,2,0,No,No
28,Glendale,AZ,226721,59.98,3780.2,Phoenix,9,76,5,25,0,No,No
