outlet_id,outlet_name,url,outlet_type,community_id,city,state
166,Acworth Patch,http://patch.com/georgia/acworth,Online Only,1,"Acworth, GA",GA
45,AdVantage News,http://advantagenews.com/,Online Only,2,"Alton, IL",IL
209,Alton Telegraph,http://thetelegraph.com/,Newspaper/Magazine,2,"Alton, IL",IL
301,Alton Daily News,http://www.altondailynews.com/,Online Only,2,"Alton, IL",IL
521,Riverbender.com,http://www.riverbender.com/,Online Only,2,"Alton, IL",IL
586,WBGZ AM 1570,http://www.wbgzradio.com/,Radio Station,2,"Alton, IL",IL
4,Ann Arbor Observer,http://annarborobserver.com/articles/front_page.html,Newspaper/Magazine,3,"Ann Arbor, MI",MI
134,MGoBlog,http://mgoblog.com/,Online Only,3,"Ann Arbor, MI",MI
136,WUOM FM 91.7,http://michiganradio.org/#stream/0,Radio Station,3,"Ann Arbor, MI",MI
144,Native American Netroots,http://nativeamericannetroots.net/,Online Only,3,"Ann Arbor, MI",MI
217,Vacuum weblog for Edward Vielmetti,http://vielmetti.github.io/,Online Only,3,"Ann Arbor, MI",MI
271,WLBY AM 1290,http://www.1290wlby.com/,Radio Station,3,"Ann Arbor, MI",MI
297,A2Politico,http://www.a2politico.com/,Online Only,3,"Ann Arbor, MI",MI
303,Ann Arbor Business Review Magazine,http://www.annarborbusinessmagazine.com/,Newspaper/Magazine,3,"Ann Arbor, MI",MI
304,WQKL FM 107.1,http://www.annarbors107one.com/,Radio Station,3,"Ann Arbor, MI",MI
340,Community Television Network,http://www.ctnannarborblog.org/,TV Station,3,"Ann Arbor, MI",MI
344,Damn Arbor,http://www.damnarbor.com/,Online Only,3,"Ann Arbor, MI",MI
467,Ann Arbor News (redirects from AnnArbor.com),http://www.mlive.com/ann-arbor/,Newspaper/Magazine,3,"Ann Arbor, MI",MI
505,Between the Lines (known as PrideSource online),http://www.pridesource.com/,Online Only,3,"Ann Arbor, MI",MI
550,WFHD TV 27,http://www.tct.tv/,Newspaper/Magazine,3,"Ann Arbor, MI",MI
567,Ann Arbor Jounral (A2) (now named The News Herald?),http://www.thenewsherald.com/,Newspaper/Magazine,3,"Ann Arbor, MI",MI
582,WWWW FM 102.9,http://www.w4country.com/,Radio Station,3,"Ann Arbor, MI",MI
583,WAAM AM 1600,http://www.waamradio.com/,Radio Station,3,"Ann Arbor, MI",MI
588,WCBN-FM 88.3,http://www.wcbn.org/,Radio Station,3,"Ann Arbor, MI",MI
