story_id,publication_date,headline,outlet_id,original,local,critical_info_need
1,2016-08-28,8 Rock Songs,1,FALSE,FALSE,None
2,2016-08-28,DNC Day 3,1,FALSE,FALSE,Political life
3,2016-08-28,WATCH: Cops Hunt,1,TRUE,FALSE,None
4,2016-08-28,25 Years Ago,1,TRUE,FALSE,None
5,2016-08-28,Lil Kim Doesn't,1,FALSE,FALSE,None
6,2016-08-28,WATCH: Pokemon GO,1,TRUE,FALSE,None
7,2016-08-28,WATCH: Brazilian Cops,1,TRUE,FALSE,None
8,2016-08-28,WATCH: Crazy Angry,1,TRUE,FALSE,None
9,2016-08-28,Would-Be Reagan Assassin,1,TRUE,FALSE,Emergencies/risks
10,2016-08-28,The Internet Ethers,1,FALSE,FALSE,None
11,2016-08-28,The Youngest Black,1,FALSE,FALSE,None
12,2016-08-28,Best tweets from,1,FALSE,FALSE,None
13,2016-08-28,Last Night On,1,FALSE,FALSE,None
14,2016-09-26,Gisele Bundchen To,1,TRUE,FALSE,None
15,2016-09-26,Scientist Discovers the,1,TRUE,FALSE,None
16,2016-09-26,After 20 Years,1,TRUE,FALSE,None
17,2016-09-26,Hoopz – I Didn't,1,TRUE,FALSE,None
18,2016-09-26,Dylann Roof: Death,1,TRUE,FALSE,Emergencies/risks
19,2016-09-26,Biden Officiates His,1,TRUE,FALSE,Civic information
20,2016-09-26,Iraq War Veteran,1,TRUE,FALSE,Political life
21,2016-09-26,Himmler's Lost Diaries,1,TRUE,FALSE,Civic information
22,2016-09-26,Parents Abandon Toddler,1,TRUE,FALSE,Emergencies/risks
23,2016-09-26,Will Smith Breaks,1,TRUE,FALSE,None
24,2016-09-26,Angry Veteran Confronts,1,TRUE,FALSE,Civic information
25,2016-09-26,Obama: Trump Keeps,1,TRUE,FALSE,Political life
26,2016-09-26,Why August 2nd,1,TRUE,FALSE,Civic information
27,2016-09-26,Michael Jordan wants,1,TRUE,FALSE,None
28,2016-09-26,Pilot Takes On,1,TRUE,FALSE,Emergencies/risks
29,2016-08-28,Shooting Deaths Of,1,FALSE,FALSE,Emergencies/risks
30,2016-08-28,8 Rock Songs,1,FALSE,FALSE,None
31,2016-08-28,DNC Day 3,1,FALSE,FALSE,Political life
32,2016-08-28,WATCH: Cops Hunt,1,FALSE,FALSE,Emergencies/risks
33,2016-08-28,25 Years Ago,1,FALSE,FALSE,None
