State,City,Geographic area,ID Number,Population,Area in square miles - Land area,Density per square mile of land area - Population,Target Geo Id2,Dollar,Closest LMM,Distance from LMM,%White,%AA,%H/L,Universities,County Seat,State Capital
Georgia -,Acworth city,Acworth city,1341,20425,8.24,2477.6,1300408,54103,Atlanta,28,63,26,12,0,NA,NA
Illinois -,Alton city,Alton city,1696,27865,15.47,1801.2,1701114,43874,St. Louis,15,69,27,2,0,NA,NA
Michigan,Ann Arbor city,Ann Arbor city,352,113934,27.83,4094,2603000,96210,Detroit,36,73,8,4,1,NA,NA
California,Antioch city,Antioch city,749,102372,28.35,3611.2,602252,73023,San Francisco,37,49,17,32,0,NA,NA
California -,Apple Valley town,Apple Valley town,1322,69135,73.19,944.6,602364,54646,Los Angeles,68,69,9,29,0,NA,NA
Michigan -,Bay City city,Bay City city,1628,34932,10.17,3436,2606020,46130,Detroit,97,90,4,9,0,NA,NA
Ohio,Beavercreek city,Beavercreek city,337,45193,26.4,1711.9,3904720,97123,Columbus,60,89,3,3,0,NA,NA
California,Belmont city,Belmont city,44,25835,4.62,5590.2,605108,142446,San Francisco,20,68,2,12,0,NA,NA
Missouri,Belton city,Belton city,1149,23116,14.25,1622.7,2904384,59525,Kansas City,20,86,6,8,0,NA,NA
Massachusetts,Beverly city,Beverly city,350,39502,15.09,2617.2,2505595,96514,Boston,17,83,3,2,0,NA,NA
Maine,Biddeford city,Biddeford city,1147,21277,30.09,707.2,2304860,59546,Boston,84,95,1,2,0,NA,NA
Colorado,Boulder city,Boulder city,265,97385,24.66,3948.4,807850,102623,Denver,24,88,1,9,1,NA,NA
Montana,Bozeman city,Bozeman city,886,37280,19.12,1950,3008950,67731,Salt Lake City,342,94,1,3,1,1,NA
Iowa,Cedar Falls city,Cedar Falls city,611,39260,28.75,1365.7,1911755,78706,Minneapolis,174,93,2,2,1,NA,NA
Illinois -,Charleston city,Charleston city,1629,21838,8.92,2449.1,1712567,46118,Indianapolis,109,90,6,2,1,1,NA
Illinois -,Cicero town,Cicero town,1642,83891,5.86,14304.8,1714351,45490,Chicago,7,52,4,90,0,NA,NA
Texas,Coppell city,Coppell city,82,38659,14.39,2685.7,4816612,129444,Dallas,18,83,3,7,0,NA,NA
California,Corona city,Corona city,542,152374,38.83,3924.6,616350,82607,Los Angeles,41,60,6,44,0,NA,NA
Minnesota,Cottage Grove city,Cottage Grove city,407,34589,33.62,1028.7,2713456,91813,Minneapolis,19,87,4,5,0,NA,NA
Illinois,Darien city,Darien city,375,22086,6.18,3574.9,1718628,93900,Chicago,20,90,1,1,0,NA,NA
Delaware,Dover city,Dover city,1241,36047,23.15,1557.3,1021200,56630,Philadelphia,58,48,42,7,0,1,1
Illinois -,East St. Louis city,East St. Louis city,1897,27006,13.99,1930.1,1722255,21301,St. Louis,4,98,1,1,0,NA,NA
Kentucky,Elizabethtown city,Elizabethtown city,1214,28531,25.36,1125.1,2124274,57195,Louisville,39,80,20,4,0,NA,NA
Illinois,Elmwood Park village,Elmwood Park village,933,24883,1.91,13045.7,1723724,66450,Chicago,10,92,1,11,0,NA,NA
Minnesota,Faribault city,Faribault city,986,23352,15.32,1524.7,2720546,64652,Minneapolis,47,83,8,13,0,1,NA
Texas,Flower Mound town,Flower Mound town,81,64669,41.39,1562.5,4826232,129866,Dallas,29,83,3,8,0,NA,NA
Ohio -,Garfield Heights city,Garfield Heights city,1587,28849,7.23,3990.3,3929428,47455,Cleveland,7,60,36,2,0,NA,NA
Arizona,Glendale city,Glendale city,1309,226721,59.98,3780.2,427820,54952,Phoenix,9,76,5,25,0,NA,NA
California,Glendora city,Glendora city,532,50073,19.39,2582,630014,82961,Los Angeles,22,75,2,31,0,NA,NA
Minnesota,Golden Valley city,Golden Valley city,275,20371,10.19,1998.2,2724308,102077,Minneapolis,5,85,7,3,0,NA,NA
Michigan -,Grand Rapids city,Grand Rapids city,1555,188040,44.4,4235.6,2634000,48357,Detroit,140,65,21,16,0,1,NA
