X1,source,url,city,state,orig,loc,cinbin,lo,co,cl,clo,outlet_type
1,1,http://1013thebrew.iheart.com/,"Grand Rapids, MI",MI,60,0,41,0,33,0,0,Radio Station
2,2,http://3abn.org/,"Grand Rapids, MI",MI,NA,NA,NA,NA,NA,NA,NA,Online Only
3,3,http://activanetwork.com/greenville/,"Spartanburg, SC",SC,NA,NA,NA,NA,NA,NA,NA,Radio Station
4,4,http://annarborobserver.com/articles/front_page.html,"Ann Arbor, MI",MI,NA,NA,NA,NA,NA,NA,NA,Newspaper/Magazine
5,5,http://antiochherald.com/,"Antioch, CA",CA,8,7,8,7,8,7,7,Online Only
6,6,http://beavercreeknewscurrent.com/,"Beavercreek, OH",OH,NA,NA,NA,NA,NA,NA,NA,Newspaper/Magazine
7,7,http://bevcam.org/,"Beverly, MA",MA,NA,NA,NA,NA,NA,NA,NA,TV Station
8,8,http://bozemanmagazine.com/,"Bozeman, MT",MT,NA,NA,NA,NA,NA,NA,NA,Newspaper/Magazine
9,9,http://denver.yourhub.com/Thornton,"Thornton, CO",CO,NA,NA,NA,NA,NA,NA,NA,Online Only
10,10,http://kobi5.com/,"Medford, OR",OR,8,5,10,5,7,5,5,TV Station
11,11,http://www.tristatehomepage.com/,"Henderson, KY",KY,5,4,5,4,5,4,4,TV Station
12,12,http://www.tulsaworld.com/communities/owasso/,"Owasso, OK",OK,8,8,8,8,8,8,8,Newspaper/Magazine
13,13,http://www.twincitiesbusinessradio.com/,"Golden Valley, MN",MN,0,2,87,0,0,2,0,Radio Station
14,14,http://www.univision.com/arizona/khot,"Glendale, AZ",AZ,3,0,0,0,0,0,0,Radio Station
15,15,http://www.univision.com/musica,"West Covina, CA",CA,14,0,2,0,2,0,0,Radio Station
16,16,http://www.utica.edu/student/activities/organizations/wpnr/index.cfm,"Utica, NY",NY,NA,NA,NA,NA,NA,NA,NA,Radio Station
17,17,http://www.uticaod.com/,"Utica, NY",NY,67,57,88,57,49,43,43,Newspaper/Magazine
18,18,http://www.valleymagazinepsu.com/,"State College, PA",PA,7,5,2,5,2,2,2,Newspaper/Magazine
19,19,http://www.vcyamerica.org/,"Charleston, IL",IL,NA,NA,NA,NA,NA,NA,NA,Radio Station
20,20,http://www.visaliatimesdelta.com/,"Visalia, CA",CA,NA,NA,NA,NA,NA,NA,NA,Newspaper/Magazine
21,21,https://localinannarbor.com/,"Ann Arbor, MI",MI,NA,NA,NA,NA,NA,NA,NA,Online Only
22,22,https://mibiz.com/,"Grand Rapids, MI",MI,NA,NA,NA,NA,NA,NA,NA,Newspaper/Magazine
23,23,https://thesaintaq.com/,"Grand Rapids, MI",MI,1,0,0,0,0,0,0,Newspaper/Magazine
24,24,https://visitglendale.wordpress.com/,"Glendale, AZ",AZ,NA,NA,NA,NA,NA,NA,NA,Online Only
25,25,https://westbendcurrent.com/,"West Bend, WI",WI,1,0,0,0,0,0,0,Online Only
26,26,https://www.facebook.com/The-Beavercreek-Ohio-Buzz-219750630759/,"Beavercreek, OH",OH,3,3,2,3,2,2,2,Online Only
27,27,https://www.freetalklive.com/,"Keene, NH",NH,NA,NA,NA,NA,NA,NA,NA,Online Only
28,28,https://www.michigandaily.com/,"Ann Arbor, MI",MI,4,3,2,3,2,2,2,Newspaper/Magazine
29,29,https://www.tapinto.net/towns/paterson,"Paterson, NJ",NJ,3,3,2,3,2,2,2,Online Only
30,30,https://www.uni.edu/kult/,"Cedar Falls, IA",IA,NA,NA,NA,NA,NA,NA,NA,Radio Station
31,31,http://1013.iheart.com/,"Walnut Creek, CA",CA,42,1,14,1,8,1,1,Radio Station
32,32,http://1030lagrande.com/,"Oviedo, FL",FL,NA,NA,NA,NA,NA,NA,NA,Radio Station
33,33,http://103gbfrocks.com/,"Henderson, KY",KY,27,4,14,4,8,4,4,Radio Station
34,34,http://1059qwikrock.com/,"State College, PA",PA,2,0,2,0,2,0,0,Radio Station
35,35,http://1059thebull.com/,"Stockton, CA",CA,32,21,15,21,15,6,6,Radio Station
36,36,http://1061thetwister.iheart.com/,"Owasso, OK",OK,78,3,34,3,31,0,0,Radio Station
37,37,http://590kid.com/,"Rexburg, ID",ID,17,7,24,7,15,6,6,Radio Station
38,38,http://640wgst.iheart.com/,"Marietta, GA",GA,57,0,25,0,21,0,0,Radio Station
39,39,http://720thevoice.iheart.com/,"Newnan, GA",GA,73,0,51,0,44,0,0,Radio Station
40,40,http://931amor.lamusica.com/,"Paterson, NJ",NJ,2,0,0,0,0,0,0,Radio Station
41,41,http://941theduke.com/,"Grand Rapids, MI",MI,21,8,10,8,9,4,4,Radio Station
42,42,http://957theparty.iheart.com/,"Boulder, CO",CO,17,4,9,4,4,1,1,Radio Station
43,43,http://967theeagle.net/,"Loves Park, IL",IL,37,21,18,21,13,9,9,Radio Station
44,44,http://975wdif.com/,"Marion, OH",OH,NA,NA,NA,NA,NA,NA,NA,Radio Station
45,45,http://advantagenews.com/,"Alton, IL",IL,32,27,26,27,26,23,23,Online Only
46,46,http://altdayton.iheart.com/,"Beavercreek, OH",OH,73,0,20,0,19,0,0,Radio Station
47,47,http://amp.cbslocal.com/,"Apple Valley, CA",CA,10,4,9,4,5,4,4,Radio Station
48,48,http://atlantassportsstation.com/,"Marietta, GA",GA,NA,NA,NA,NA,NA,NA,NA,Radio Station
49,49,http://b93.iheart.com/,"Grand Rapids, MI",MI,62,28,32,28,16,6,6,Radio Station
50,50,http://b945live.com/,"State College, PA",PA,14,13,0,13,0,0,0,Radio Station
51,51,http://beavercreekrecord.com/,"Beavercreek, OH",OH,NA,NA,NA,NA,NA,NA,NA,Newspaper/Magazine
