STORYID#,CODER#,COMMUNITY#,SOURCE#,DAY#,HEADLINE,ORIGINAL,LOCAL,CIN,NOTES,"problematic items (1=bad link, 2=paywall, 3=other)",...12,...13,...14,...15
NA,11,31,1,1,8 Rock Songs,2,2,9,NA,NA,NA,NA,NA,NA
NA,11,31,1,1,DNC Day 3,2,2,8,NA,NA,NA,NA,NA,NA
NA,11,31,1,1,WATCH: Cops Hunt,1,2,9,viral video,NA,NA,NA,NA,NA
NA,11,31,1,1,25 Years Ago,1,2,9,celebrity news,NA,NA,NA,NA,NA
NA,11,31,1,1,Lil Kim Doesn't,2,2,9,celebrity news,NA,NA,NA,NA,NA
NA,11,31,1,1,WATCH: Pokemon GO,1,2,9,viral video,NA,NA,NA,NA,NA
NA,11,31,1,1,WATCH: Brazilian Cops,1,2,9,viral video,NA,NA,NA,NA,NA
NA,11,31,1,1,WATCH: Crazy Angry,1,2,9,viral video,NA,NA,NA,NA,NA
NA,11,31,1,1,Would-Be Reagan Assassin,1,2,1,Would be assassin on parole,NA,NA,NA,NA,NA
NA,11,31,1,1,The Internet Ethers,2,2,9,celebrity news,NA,NA,NA,NA,NA
NA,11,31,1,1,The Youngest Black,2,2,9,story of youth aspiration,NA,NA,NA,NA,NA
NA,11,31,1,1,Best tweets from,2,2,9,sports drama,NA,NA,NA,NA,NA
NA,11,31,1,1,Last Night On,2,2,9,NA,NA,NA,NA,NA,NA
NA,8,31,1,2,Gisele Bundchen To,1,2,9,Story about dramatized violence,NA,NA,NA,NA,NA
NA,8,31,1,2,Scientist Discovers the,1,2,9,"The most ""metal"" word in the world",NA,NA,NA,NA,NA
NA,8,31,1,2,After 20 Years,1,2,9,More info on JonBenet Ramsey,NA,NA,NA,NA,NA
NA,8,31,1,2,Hoopz – I Didn't,1,2,9,Flavor of Love Drama,NA,NA,NA,NA,NA
NA,8,31,1,2,Dylann Roof: Death,1,2,1,Death sentence as unconsitutional,NA,NA,NA,NA,NA
NA,8,31,1,2,Biden Officiates His,1,2,7,Biden first gay wedding,NA,NA,NA,NA,NA
NA,8,31,1,2,Iraq War Veteran,1,2,8,Trump gets purple heart from supporter,NA,NA,NA,NA,NA
NA,8,31,1,2,Himmler's Lost Diaries,1,2,7,Himmler's diaries released,NA,NA,NA,NA,NA
NA,8,31,1,2,Parents Abandon Toddler,1,2,1,Parents playing Pokemon leave kids alone,NA,NA,NA,NA,NA
NA,8,31,1,2,Will Smith Breaks,1,2,9,No new Fresh Prince,NA,NA,NA,NA,NA
NA,8,31,1,2,Angry Veteran Confronts,1,2,7,Pokemon Go at veteran memorial,NA,NA,NA,NA,NA
NA,8,31,1,2,Obama: Trump Keeps,1,2,8,Obama: Trump shouldn't be president,NA,NA,NA,NA,NA
NA,8,31,1,2,Why August 2nd,1,2,7,August 2 is important in rock,NA,NA,NA,NA,NA
NA,8,31,1,2,Michael Jordan wants,1,2,9,Michael Jordan's thoughts on Space Jam,NA,NA,NA,NA,NA
NA,8,31,1,2,Pilot Takes On,1,2,1,Man is disorderly on airplane,NA,NA,NA,NA,NA
NA,8,31,1,1,Shooting Deaths Of,2,2,1,Increase in police death,NA,NA,NA,NA,NA
NA,8,31,1,1,8 Rock Songs,2,2,9,Bagpipes,NA,NA,NA,NA,NA
NA,8,31,1,1,DNC Day 3,2,2,8,Tim Cain,NA,NA,NA,NA,NA
NA,8,31,1,1,WATCH: Cops Hunt,2,2,1,Walmart Chase,NA,NA,NA,NA,NA
NA,8,31,1,1,25 Years Ago,2,2,9,PeeWee Herman,NA,NA,NA,NA,NA
NA,8,31,1,1,Lil Kim Doesn't,2,2,9,Lil Kim is portrayed by a light-skinned actress,NA,NA,NA,NA,NA
NA,8,31,1,1,WATCH: Pokemon GO,2,2,1,Police complaint about news photobomb,NA,NA,NA,NA,NA
