"city","state","population_band","cin_per_100k","critical_info_need","median_cin_per_100k","status"
Texarkana,AR,"1 - Under 30,000",3.342357699120959925100000,Economic development,4.63172673741469,Underserved
Henderson,KY,"1 - Under 30,000",3.477414194804743193000000,Transportation systems,5.724662008429249,Underserved
Henderson,KY,"1 - Under 30,000",3.477414194804743193000000,Political life,4.103159609675759,Underserved
Elizabethtown,KY,"1 - Under 30,000",3.504959517717570362100000,Education,15.259604013275855,Underserved
Elizabethtown,KY,"1 - Under 30,000",3.504959517717570362100000,Economic development,4.63172673741469,Underserved
Elizabethtown,KY,"1 - Under 30,000",3.504959517717570362100000,Transportation systems,5.724662008429249,Underserved
Alton,IL,"1 - Under 30,000",3.588731383455948322300000,Economic development,4.63172673741469,Underserved
Winona,MN,"1 - Under 30,000",3.624238909828935923500000,Transportation systems,5.724662008429249,Underserved
East St. Louis,IL,"1 - Under 30,000",3.702880841294527142100000,Political life,4.103159609675759,Underserved
East St. Louis,IL,"1 - Under 30,000",3.702880841294527142100000,Health,7.0661455782606915,Underserved
East St. Louis,IL,"1 - Under 30,000",3.702880841294527142100000,Economic development,4.63172673741469,Underserved
Kingsville,TX,"1 - Under 30,000",3.814901003318963872900000,Health,7.0661455782606915,Underserved
Kingsville,TX,"1 - Under 30,000",3.814901003318963872900000,Political life,4.103159609675759,Underserved
Belmont,CA,"1 - Under 30,000",3.870718018192374685500000,Emergencies/risks,16.739203213927016,Underserved
Belmont,CA,"1 - Under 30,000",3.870718018192374685500000,Political life,4.103159609675759,Underserved
Rexburg,ID,"1 - Under 30,000",3.924030764401192905400000,Environment/planning,8.543722499893203,Underserved
Rexburg,ID,"1 - Under 30,000",3.924030764401192905400000,Political life,4.103159609675759,Underserved
Rexburg,ID,"1 - Under 30,000",3.924030764401192905400000,Health,7.0661455782606915,Underserved
Woodstock,GA,"1 - Under 30,000",4.184800803481754268500000,Education,15.259604013275855,Underserved
Woodstock,GA,"1 - Under 30,000",4.184800803481754268500000,Economic development,4.63172673741469,Underserved
Woodstock,GA,"1 - Under 30,000",4.184800803481754268500000,Environment/planning,8.543722499893203,Underserved
Keene,NH,"1 - Under 30,000",4.271861249946601734400000,Transportation systems,5.724662008429249,Underserved
Faribault,MN,"1 - Under 30,000",4.282288454950325453900000,Environment/planning,8.543722499893203,Underserved
Searcy,AR,"1 - Under 30,000",4.374835943652113045800000,Environment/planning,8.543722499893203,Underserved
Darien,IL,"1 - Under 30,000",4.527755139002082767400000,Emergencies/risks,16.739203213927016,Underserved
Charleston,IL,"1 - Under 30,000",4.579173917025368623500000,Economic development,4.63172673741469,Underserved
Oxford,AL,"1 - Under 30,000",4.684279557804009743300000,Health,7.0661455782606915,Underserved
Henderson,KY,"1 - Under 30,000",6.954828389609486385900000,Health,7.0661455782606915,Underserved
Slidell,LA,"1 - Under 30,000",7.388798581350672380700000,Civic information,19.58312133068484,Underserved
Loves Park,IL,"1 - Under 30,000",8.334722453742290381700000,Emergencies/risks,16.739203213927016,Underserved
Keene,NH,"1 - Under 30,000",8.543722499893203468800000,Education,15.259604013275855,Underserved
Keene,NH,"1 - Under 30,000",8.543722499893203468800000,Civic information,19.58312133068484,Underserved
Faribault,MN,"1 - Under 30,000",8.564576909900650907800000,Emergencies/risks,16.739203213927016,Underserved
Searcy,AR,"1 - Under 30,000",8.749671887304226091500000,Education,15.259604013275855,Underserved
Oxford,AL,"1 - Under 30,000",9.368559115608019486600000,Education,15.259604013275855,Underserved
Garfield Heights,OH,"1 - Under 30,000",10.39897396790183400000,Civic information,19.58312133068484,Underserved
Henderson,KY,"1 - Under 30,000",10.43224258441423000000,Emergencies/risks,16.739203213927016,Underserved
Elizabethtown,KY,"1 - Under 30,000",10.51487855315271100000,Civic information,19.58312133068484,Underserved
Alton,IL,"1 - Under 30,000",10.76619415036784500000,Emergencies/risks,16.739203213927016,Underserved
Winona,MN,"1 - Under 30,000",10.87271672948680800000,Education,15.259604013275855,Underserved
Elmwood Park,IL,"1 - Under 30,000",12.05642406462243300000,Civic information,19.58312133068484,Underserved
Willoughby,OH,"1 - Under 30,000",13.47224717082809400000,Emergencies/risks,16.739203213927016,Underserved
La Porte,IN,"1 - Under 30,000",13.60359134811590300000,Civic information,19.58312133068484,Underserved
Biddeford,ME,"1 - Under 30,000",14.09973210509000300000,Civic information,19.58312133068484,Underserved
Kingsville,TX,"1 - Under 30,000",15.25960401327585500000,Emergencies/risks,16.739203213927016,Underserved
Rexburg,ID,"1 - Under 30,000",15.69612305760477200000,Emergencies/risks,16.739203213927016,Underserved
Rexburg,ID,"1 - Under 30,000",15.69612305760477200000,Civic information,19.58312133068484,Underserved
Loves Park,IL,"1 - Under 30,000",16.66944490748458100000,Civic information,19.58312133068484,Underserved
Woodstock,GA,"1 - Under 30,000",16.73920321392701700000,Civic information,19.58312133068484,Underserved
Owasso,OK,"1 - Under 30,000",17.29206294310911300000,Civic information,19.58312133068484,Underserved
Minnetonka,MN,"2 - 30,000 to 50,000",2.010696907548156190900000,Transportation systems,3.672386392678318,Underserved
Minnetonka,MN,"2 - 30,000 to 50,000",2.010696907548156190900000,Civic information,17.72062174067136,Underserved
Minnetonka,MN,"2 - 30,000 to 50,000",2.010696907548156190900000,Education,7.357791610975468,Underserved
Quincy,IL,"2 - 30,000 to 50,000",2.461053823247114414400000,Transportation systems,3.672386392678318,Underserved
Quincy,IL,"2 - 30,000 to 50,000",2.461053823247114414400000,Economic development,8.366049858369905,Underserved
Quincy,IL,"2 - 30,000 to 50,000",2.461053823247114414400000,Environment/planning,4.021393815096312,Underserved
New Berlin,WI,"2 - 30,000 to 50,000",2.526273241713823767200000,Health,3.906600095183279,Underserved
New Berlin,WI,"2 - 30,000 to 50,000",2.526273241713823767200000,Economic development,8.366049858369905,Underserved
New Berlin,WI,"2 - 30,000 to 50,000",2.526273241713823767200000,Civic information,17.72062174067136,Underserved
Beverly,MA,"2 - 30,000 to 50,000",2.531517391524479773200000,Environment/planning,4.021393815096312,Underserved
Beverly,MA,"2 - 30,000 to 50,000",2.531517391524479773200000,Economic development,8.366049858369905,Underserved
Beverly,MA,"2 - 30,000 to 50,000",2.531517391524479773200000,Political life,9.516106009420945,Underserved
Rock Island,IL,"2 - 30,000 to 50,000",2.562919678097288431000000,Political life,9.516106009420945,Underserved
Coppell,TX,"2 - 30,000 to 50,000",2.586719780646162601200000,Political life,9.516106009420945,Underserved
Coppell,TX,"2 - 30,000 to 50,000",2.586719780646162601200000,Transportation systems,3.672386392678318,Underserved
Coppell,TX,"2 - 30,000 to 50,000",2.586719780646162601200000,Health,3.906600095183279,Underserved
Valley Stream,NY,"2 - 30,000 to 50,000",2.665884673829010157000000,Emergencies/risks,10.85864755544697,Underserved
Valley Stream,NY,"2 - 30,000 to 50,000",2.665884673829010157000000,Civic information,17.72062174067136,Underserved
Valley Stream,NY,"2 - 30,000 to 50,000",2.665884673829010157000000,Education,7.357791610975468,Underserved
Spartanburg,SC,"2 - 30,000 to 50,000",2.701753437981249831100000,Health,3.906600095183279,Underserved
Marion,OH,"2 - 30,000 to 50,000",2.714661888861742270000000,Health,3.906600095183279,Underserved
Marion,OH,"2 - 30,000 to 50,000",2.714661888861742270000000,Environment/planning,4.021393815096312,Underserved
Cottage Grove,MN,"2 - 30,000 to 50,000",2.891092543872329353300000,Emergencies/risks,10.85864755544697,Underserved
Cottage Grove,MN,"2 - 30,000 to 50,000",2.891092543872329353300000,Health,3.906600095183279,Underserved
Cottage Grove,MN,"2 - 30,000 to 50,000",2.891092543872329353300000,Political life,9.516106009420945,Underserved
Cottage Grove,MN,"2 - 30,000 to 50,000",2.891092543872329353300000,Environment/planning,4.021393815096312,Underserved
Issaquah,WA,"2 - 30,000 to 50,000",3.285798777682854702000000,Environment/planning,4.021393815096312,Underserved
Minnetonka,MN,"2 - 30,000 to 50,000",4.021393815096312381900000,Emergencies/risks,10.85864755544697,Underserved
Beavercreek,OH,"2 - 30,000 to 50,000",4.425464120549642643800000,Civic information,17.72062174067136,Underserved
Beverly,MA,"2 - 30,000 to 50,000",5.063034783048959546400000,Emergencies/risks,10.85864755544697,Underserved
Coppell,TX,"2 - 30,000 to 50,000",5.173439561292325202400000,Education,7.357791610975468,Underserved
Bozeman,MT,"2 - 30,000 to 50,000",5.364806866952789699600000,Economic development,8.366049858369905,Underserved
Spartanburg,SC,"2 - 30,000 to 50,000",5.403506875962499662300000,Education,7.357791610975468,Underserved
Dover,DE,"2 - 30,000 to 50,000",5.548311926096485144400000,Education,7.357791610975468,Underserved
St. Cloud,FL,"2 - 30,000 to 50,000",5.684563567632095045900000,Civic information,17.72062174067136,Underserved
Cottage Grove,MN,"2 - 30,000 to 50,000",5.782185087744658706500000,Economic development,8.366049858369905,Underserved
Menlo Park,CA,"2 - 30,000 to 50,000",6.244925997626928120900000,Economic development,8.366049858369905,Underserved
Issaquah,WA,"2 - 30,000 to 50,000",6.571597555365709404000000,Education,7.357791610975468,Underserved
Issaquah,WA,"2 - 30,000 to 50,000",6.571597555365709404000000,Emergencies/risks,10.85864755544697,Underserved
Quincy,IL,"2 - 30,000 to 50,000",7.383161469741343243200000,Political life,9.516106009420945,Underserved
Spartanburg,SC,"2 - 30,000 to 50,000",8.105260313943749493400000,Civic information,17.72062174067136,Underserved
Marion,OH,"2 - 30,000 to 50,000",8.143985666585226810000000,Economic development,8.366049858369905,Underserved
Menlo Park,CA,"2 - 30,000 to 50,000",9.367388996440392181400000,Emergencies/risks,10.85864755544697,Underserved
State College,PA,"2 - 30,000 to 50,000",9.516106009420944949300000,Emergencies/risks,10.85864755544697,Underserved
Quincy,IL,"2 - 30,000 to 50,000",9.844215292988457657600000,Civic information,17.72062174067136,Underserved
Issaquah,WA,"2 - 30,000 to 50,000",16.42899388841427400000,Civic information,17.72062174067136,Underserved
Boulder,CO,"3 - 50,000 to 100,000",1.026852184628022796100000,Environment/planning,2.982127639041809,Underserved
Vacaville,CA,"3 - 50,000 to 100,000",1.081923226727831393100000,Environment/planning,2.982127639041809,Underserved
Tracy,CA,"3 - 50,000 to 100,000",1.205952581944477943100000,Transportation systems,2.781434079871828,Underserved
Tracy,CA,"3 - 50,000 to 100,000",1.205952581944477943100000,Economic development,3.534880432669365,Underserved
Merced,CA,"3 - 50,000 to 100,000",1.266496111856936599200000,Transportation systems,2.781434079871828,Underserved
Merced,CA,"3 - 50,000 to 100,000",1.266496111856936599200000,Civic information,6.233151013666183,Underserved
Merced,CA,"3 - 50,000 to 100,000",1.266496111856936599200000,Education,5.409616133639157,Underserved
Merced,CA,"3 - 50,000 to 100,000",1.266496111856936599200000,Health,1.7674402163346825,Underserved
Medford,OR,"3 - 50,000 to 100,000",1.334988719345321532000000,Health,1.7674402163346825,Underserved
Wyoming,MI,"3 - 50,000 to 100,000",1.386481802426343154200000,Civic information,6.233151013666183,Underserved
Apple Valley,CA,"3 - 50,000 to 100,000",1.446445360526506111200000,Emergencies/risks,5.187858674582847,Underserved
Apple Valley,CA,"3 - 50,000 to 100,000",1.446445360526506111200000,Environment/planning,2.982127639041809,Underserved
Rock Hill,SC,"3 - 50,000 to 100,000",1.511624391571182392600000,Environment/planning,2.982127639041809,Underserved
Rock Hill,SC,"3 - 50,000 to 100,000",1.511624391571182392600000,Economic development,3.534880432669365,Underserved
Flower Mound,TX,"3 - 50,000 to 100,000",1.546335956950006958500000,Health,1.7674402163346825,Underserved
Walnut Creek,CA,"3 - 50,000 to 100,000",1.558287753416545899400000,Health,1.7674402163346825,Underserved
Woodbury,MN,"3 - 50,000 to 100,000",1.613918432562418295400000,Economic development,3.534880432669365,Underserved
Woodbury,MN,"3 - 50,000 to 100,000",1.613918432562418295400000,Transportation systems,2.781434079871828,Underserved
West Allis,WI,"3 - 50,000 to 100,000",1.655327672112694707900000,Civic information,6.233151013666183,Underserved
West Allis,WI,"3 - 50,000 to 100,000",1.655327672112694707900000,Political life,6.077347749520472,Underserved
West Allis,WI,"3 - 50,000 to 100,000",1.655327672112694707900000,Emergencies/risks,5.187858674582847,Underserved
Royal Oak,MI,"3 - 50,000 to 100,000",1.747152142008526102500000,Health,1.7674402163346825,Underserved
Royal Oak,MI,"3 - 50,000 to 100,000",1.747152142008526102500000,Economic development,3.534880432669365,Underserved
Marietta,GA,"3 - 50,000 to 100,000",1.767440216334682479400000,Emergencies/risks,5.187858674582847,Underserved
Milford City (Balance),CT,"3 - 50,000 to 100,000",1.950420315578007060500000,Transportation systems,2.781434079871828,Underserved
Glendora,CA,"3 - 50,000 to 100,000",1.997084256984802188800000,Transportation systems,2.781434079871828,Underserved
Glendora,CA,"3 - 50,000 to 100,000",1.997084256984802188800000,Political life,6.077347749520472,Underserved
Glendora,CA,"3 - 50,000 to 100,000",1.997084256984802188800000,Education,5.409616133639157,Underserved
Boulder,CO,"3 - 50,000 to 100,000",2.053704369256045592200000,Political life,6.077347749520472,Underserved
Yakima,WA,"3 - 50,000 to 100,000",2.196185226261982935600000,Economic development,3.534880432669365,Underserved
Tracy,CA,"3 - 50,000 to 100,000",2.411905163888955886300000,Political life,6.077347749520472,Underserved
Merced,CA,"3 - 50,000 to 100,000",2.532992223713873198400000,Emergencies/risks,5.187858674582847,Underserved
Medford,OR,"3 - 50,000 to 100,000",2.669977438690643064100000,Environment/planning,2.982127639041809,Underserved
Medford,OR,"3 - 50,000 to 100,000",2.669977438690643064100000,Transportation systems,2.781434079871828,Underserved
Medford,OR,"3 - 50,000 to 100,000",2.669977438690643064100000,Civic information,6.233151013666183,Underserved
Tracy,CA,"3 - 50,000 to 100,000",3.617857745833433829400000,Civic information,6.233151013666183,Underserved
Milford City (Balance),CT,"3 - 50,000 to 100,000",3.900840631156014121000000,Education,5.409616133639157,Underserved
Glendora,CA,"3 - 50,000 to 100,000",3.994168513969604377600000,Civic information,6.233151013666183,Underserved
Glendora,CA,"3 - 50,000 to 100,000",3.994168513969604377600000,Emergencies/risks,5.187858674582847,Underserved
Apple Valley,CA,"3 - 50,000 to 100,000",4.339336081579518333700000,Civic information,6.233151013666183,Underserved
Yakima,WA,"3 - 50,000 to 100,000",4.392370452523965871300000,Education,5.409616133639157,Underserved
Flower Mound,TX,"3 - 50,000 to 100,000",4.639007870850020875500000,Emergencies/risks,5.187858674582847,Underserved
Woodbury,MN,"3 - 50,000 to 100,000",4.841755297687254886100000,Emergencies/risks,5.187858674582847,Underserved
Boulder,CO,"3 - 50,000 to 100,000",5.134260923140113980600000,Emergencies/risks,5.187858674582847,Underserved
Royal Oak,MI,"3 - 50,000 to 100,000",5.241456426025578307400000,Civic information,6.233151013666183,Underserved
Flower Mound,TX,"3 - 50,000 to 100,000",6.185343827800027834000000,Civic information,6.233151013666183,Underserved
Stockton,CA,"4 - 100,000 to 300,000",0.342809737167774513500000,Political life,1.9536592036885085,Underserved
Stockton,CA,"4 - 100,000 to 300,000",0.342809737167774513500000,Education,2.9171103105263927,Underserved
Stockton,CA,"4 - 100,000 to 300,000",0.342809737167774513500000,Health,1.2365531790710032,Underserved
Laredo,TX,"4 - 100,000 to 300,000",0.423565489578171128900000,Transportation systems,1.0284292115033236,Underserved
Laredo,TX,"4 - 100,000 to 300,000",0.423565489578171128900000,Environment/planning,1.0636034886194428,Underserved
Laredo,TX,"4 - 100,000 to 300,000",0.423565489578171128900000,Health,1.2365531790710032,Underserved
Glendale,AZ,"4 - 100,000 to 300,000",0.441070743336523745000000,Political life,1.9536592036885085,Underserved
Glendale,AZ,"4 - 100,000 to 300,000",0.441070743336523745000000,Economic development,3.317102582199448,Underserved
Corona,CA,"4 - 100,000 to 300,000",0.656279942772388990200000,Environment/planning,1.0636034886194428,Underserved
Paterson,NJ,"4 - 100,000 to 300,000",0.683999206560920389300000,Education,2.9171103105263927,Underserved
Stockton,CA,"4 - 100,000 to 300,000",0.685619474335549026900000,Economic development,3.317102582199448,Underserved
Mesquite,TX,"4 - 100,000 to 300,000",0.715184803753289850100000,Civic information,6.460477854870318,Underserved
Pasadena,CA,"4 - 100,000 to 300,000",0.729277577631598138900000,Transportation systems,1.0284292115033236,Underserved
Laredo,TX,"4 - 100,000 to 300,000",0.847130979156342257900000,Economic development,3.317102582199448,Underserved
Laredo,TX,"4 - 100,000 to 300,000",0.847130979156342257900000,Political life,1.9536592036885085,Underserved
Ann Arbor,MI,"4 - 100,000 to 300,000",0.877701125212842522900000,Emergencies/risks,6.353482343672567,Underserved
Ann Arbor,MI,"4 - 100,000 to 300,000",0.877701125212842522900000,Health,1.2365531790710032,Underserved
Antioch,CA,"4 - 100,000 to 300,000",0.976829601844254288300000,Transportation systems,1.0284292115033236,Underserved
Antioch,CA,"4 - 100,000 to 300,000",0.976829601844254288300000,Environment/planning,1.0636034886194428,Underserved
Laredo,TX,"4 - 100,000 to 300,000",1.270696468734513386800000,Education,2.9171103105263927,Underserved
Glendale,AZ,"4 - 100,000 to 300,000",1.323212230009571235100000,Emergencies/risks,6.353482343672567,Underserved
Paterson,NJ,"4 - 100,000 to 300,000",1.367998413121840778700000,Economic development,3.317102582199448,Underserved
Stockton,CA,"4 - 100,000 to 300,000",1.371238948671098053900000,Emergencies/risks,6.353482343672567,Underserved
